Address,member,relation,gender,age,literacy,studying,degree,occupationalst,maritalst,Hoghugh_Income,Azad_Income,Other_Income,Yarane_Income,total_income
10004004223,1,Head,Male,66,literate,No,Diploma,IncomeWOJob,Married,0.0,0.0,358000000.0,10920000.0,368920000.0
10004004223,2,Spouse,Female,61,literate,No,College,IncomeWOJob,Married,0.0,0.0,262000000.0,0.0,262000000.0
10004004220,1,Head,Male,36,literate,No,Elemantry,employed,Married,55000000.0,0.0,0.0,21840000.0,76840000.0
10009008108,1,Head,Male,59,literate,No,Secondary,IncomeWOJob,Married,0.0,0.0,372000000.0,21840000.0,393840000.0
10009008108,3,Child,Male,34,literate,No,Master,employed,Single,0.0,155000000.0,0.0,0.0,155000000.0
10009008117,1,Head,Male,52,literate,No,Secondary,unemployed,Married,0.0,0.0,392000000.0,16380000.0,408380000.0
10009008114,1,Head,Male,35,literate,No,Secondary,employed,Married,120000000.0,0.0,0.0,21840000.0,141840000.0
10006005520,1,Head,Male,33,literate,No,Secondary,employed,Married,216479992.0,0.0,0.0,10920000.0,227399992.0
10006005516,1,Head,Male,58,literate,No,Bachelor,IncomeWOJob,Married,0.0,0.0,336000000.0,0.0,336000000.0
10006005516,2,Spouse,Female,57,literate,No,Diploma,IncomeWOJob,Married,0.0,0.0,264000000.0,0.0,264000000.0
10006005523,1,Head,Male,62,literate,No,Elemantry,IncomeWOJob,Married,0.0,0.0,216000000.0,10920000.0,226920000.0
10001000209,1,Head,Male,63,literate,No,Elemantry,IncomeWOJob,Married,0.0,0.0,342500000.0,16380000.0,358880000.0
10002002810,1,Head,Female,88,illiterate,No,No degree,IncomeWOJob,Widowed,0.0,0.0,90000000.0,5460000.0,95460000.0
10002002820,1,Head,Male,58,literate,No,Elemantry,IncomeWOJob,Married,0.0,0.0,165000000.0,21840000.0,186840000.0
10002002820,3,Child,Male,36,literate,No,Secondary,employed,Single,207104008.0,0.0,0.0,0.0,207104008.0
10002002823,1,Head,Male,49,literate,No,Elemantry,IncomeWOJob,Married,0.0,0.0,242400000.0,16380000.0,258780000.0
10002002823,3,Child,Male,25,literate,No,Secondary,employed,Single,44000000.0,0.0,0.0,0.0,44000000.0
10002002808,1,Head,Male,58,literate,No,Elemantry,employed,Married,0.0,240000000.0,0.0,10920000.0,250920000.0
10001000214,1,Head,Male,36,literate,No,Diploma,employed,Married,514800000.0,0.0,0.0,27300000.0,542100000.0
10006006820,1,Head,Male,38,literate,No,Elemantry,employed,Married,90000000.0,0.0,0.0,10920000.0,100920000.0
10006006811,1,Head,Male,32,literate,No,Bachelor,employed,Married,207820000.0,0.0,0.0,10920000.0,218740000.0
10009008123,1,Head,Male,56,literate,No,Bachelor,IncomeWOJob,Married,0.0,0.0,468000000.0,16380000.0,484380000.0
10013010623,1,Head,Male,65,literate,No,Elemantry,unemployed,Married,0.0,0.0,36000000.0,38220000.0,74220000.0
10006006814,1,Head,Male,37,literate,No,Secondary,employed,Married,0.0,420000000.0,0.0,21840000.0,441840000.0
10001000211,1,Head,Male,65,literate,No,Diploma,employed,Married,0.0,460000000.0,0.0,0.0,460000000.0
10001000211,3,Child,Male,39,literate,Yes,Bachelor,employed,Single,180000000.0,0.0,0.0,0.0,180000000.0
10001000220,1,Head,Male,51,literate,No,Diploma,employed,Married,445880008.0,0.0,0.0,0.0,445880008.0
10001000217,1,Head,Female,74,literate,No,Elemantry,IncomeWOJob,Widowed,0.0,0.0,220000000.0,5460000.0,225460000.0
10001000223,1,Head,Male,25,literate,No,Bachelor,employed,Married,223920000.0,0.0,0.0,0.0,223920000.0
10013010623,3,Child,Male,25,illiterate,No,No degree,unemployed,Married,0.0,0.0,14000000.0,0.0,14000000.0
10013010623,4,Child,Male,24,literate,No,Elemantry,employed,Single,2000000.0,0.0,0.0,0.0,2000000.0
10001001516,1,Head,Male,47,literate,No,Secondary,employed,Married,0.0,240000000.0,0.0,21840000.0,261840000.0
10001001516,3,Child,Male,26,literate,No,College,employed,Married,240000000.0,0.0,0.0,0.0,240000000.0
10001001520,1,Head,Male,39,literate,No,Elemantry,employed,Married,180000000.0,0.0,0.0,21840000.0,201840000.0
10001000623,1,Head,Male,58,literate,No,HighSchool,IncomeWOJob,Married,0.0,0.0,322000000.0,10920000.0,332920000.0
10001000609,1,Head,Male,53,literate,No,Secondary,IncomeWOJob,Married,0.0,0.0,346000000.0,10920000.0,356920000.0
10001000612,1,Head,Male,70,literate,No,Elemantry,IncomeWOJob,Married,0.0,0.0,291000000.0,10920000.0,301920000.0
10001000615,1,Head,Male,52,literate,No,HighSchool,IncomeWOJob,Married,0.0,0.0,334000000.0,16380000.0,350380000.0
10010009314,1,Head,Male,58,literate,No,Elemantry,employed,Married,0.0,80000000.0,160000000.0,32760000.0,272760000.0
10010009314,3,Child,Female,33,illiterate,No,No degree,employed,Divorced,181100000.0,0.0,0.0,0.0,181100000.0
10010009314,5,Child,Male,25,literate,No,Diploma,employed,Single,181100000.0,0.0,0.0,0.0,181100000.0
10010009308,1,Head,Male,51,literate,No,Diploma,employed,Married,120000000.0,0.0,208090000.0,21840000.0,349930000.0
10001001523,1,Head,Male,91,illiterate,No,No degree,IncomeWOJob,Married,0.0,0.0,72000000.0,10920000.0,82920000.0
